time="2024-01-30 14:04:17" level=info Agent= Hostname=LAPTOP-FH0DMLT2 Ip=127.0.0.1 Method=GET datasize=0 path=/ws/sensor spendtime="16062 ms" status=200
time="2024-01-30 14:27:21" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=POST datasize=241 path=/api/v1/login spendtime="47 ms" status=200
time="2024-01-30 14:27:42" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path=/api/v1/data/get spendtime="4 ms" status=200
time="2024-01-30 14:29:43" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=40 path=/api/v1/data/get spendtime="0 ms" status=200
time="2024-01-30 14:29:51" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=POST datasize=241 path=/api/v1/login spendtime="35 ms" status=200
time="2024-01-30 14:30:07" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=40 path=/api/v1/data/get spendtime="0 ms" status=200
time="2024-01-30 14:30:17" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=40 path=/api/v1/data/get spendtime="0 ms" status=200
time="2024-01-30 14:30:34" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path=/api/v1/data/get spendtime="3 ms" status=200
time="2024-01-30 14:30:51" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=307 path=/api/v1/users spendtime="4 ms" status=200
time="2024-01-30 14:32:40" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=JC09" spendtime="6 ms" status=200
time="2024-01-30 14:59:32" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=JC09" spendtime="7 ms" status=200
time="2024-01-30 15:00:47" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=JC09" spendtime="4 ms" status=200
time="2024-01-30 15:01:02" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sensor_name=JC09" spendtime="2 ms" status=200
time="2024-01-30 15:01:13" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=595 path="/api/v1/project/getByName?name=%E4%B8%80" spendtime="4 ms" status=200
time="2024-01-30 15:04:08" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=JC09" spendtime="2 ms" status=200
time="2024-01-30 15:05:37" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=POST datasize=241 path=/api/v1/login spendtime="33 ms" status=200
time="2024-01-30 15:05:56" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=JC09" spendtime="3 ms" status=200
time="2024-01-30 15:05:58" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=JC09" spendtime="0 ms" status=200
time="2024-01-30 15:07:07" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=JC09" spendtime="3 ms" status=200
time="2024-01-30 15:11:38" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path=/api/v1/data/get spendtime="4 ms" status=200
time="2024-01-30 15:12:38" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=595 path="/api/v1/project/getByName?name=%E4%B8%80" spendtime="1 ms" status=200
time="2024-01-30 15:12:49" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=JC09" spendtime="4 ms" status=200
time="2024-01-30 15:12:54" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=JC09" spendtime="3 ms" status=200
time="2024-01-30 15:13:50" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=" spendtime="4 ms" status=200
time="2024-01-30 15:13:54" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=1" spendtime="2 ms" status=200
time="2024-01-30 15:16:19" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=POST datasize=241 path=/api/v1/login spendtime="49 ms" status=200
time="2024-01-30 15:16:41" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path="/api/v1/data/getBySN?sn=J" spendtime="4 ms" status=200
